Disease Surveillance Database,Added By,Status,Reviewer,What organization created the system?,NP (non-profit) FP (for-profit) Gov (Government),Justification of Removal (it's not health epi focused),ik,Current/Terminated/Absorbed,Date Created,Date Terminated (C if current),LINKS to database as well as relevant articles,Geographic Region,City,Region,Countries,Global (mark as global),Data Source (Where does the data come from?),Data Type,Justification of Removal (it's not health epi focused),LINKS to database as well as relevant articles,Source Classification (of illness iNFormation),Syndromic Surveillance, Surveillance,Humans,Animals,Plants,Specific Symptoms Surveyed,Specific Diseases Surveyed,NOTES,MORE NOTES
GP Out-of-Hours syndromic surveillance system,Olivia W.,,,"Health Protection Agency (HPA), which became Public Health England",Gov,,2010-current,Current,2010,C,https://www.gov.uk/government/publications/gp-out-of-hours-syndromic-surveillance-bulletin,England,,,England,,Tele-health system,Self-reported influenza like illness,,https://www.gov.uk/government/publications/gp-out-of-hours-syndromic-surveillance-bulletin,non-clinical,yes,no,yes,no,no,"acute respiratory infection, ILI, bronchitis/bronchiolitis, difficulty breathing/wheeze/asthma, pharyngitis, gastroenteritis, diarrhea, vomiting, heart attack, heatstroke",syndromic only,,
Alerte et Surveillance en Temps Réel (ASTER),Olivia W.,,,Service de santé des armées (SSA) (French armed forces),Gov,,2004-current,current,2004,C,http://www.eurosurveillance.org/ViewArticle.aspx?ArticleId=21126,"French armed forces stationed in French Guiana, Djibouti, Jordan",,French Guiana,"Djibouti, Jordan",,military physicians,clinical data,,http://www.eurosurveillance.org/ViewArticle.aspx?ArticleId=21126,clinical,yes,,yes,no,no,,NF,,
DMOS - Danish medical on-call service ILI surveillance,Olivia W.,,,Statens Serum Institut (SSI),Gov,,,Current ,2006,C,http://www.eurosurveillance.org/ViewArticle.aspx?ArticleId=19767,denmark,,,Denmark,,Danish medical on-call service (DMOS),electronic health records,,http://www.eurosurveillance.org/ViewArticle.aspx?ArticleId=19767,clinical,yes,,yes,no,no,ILI,syndromic only,,
SIDARTHa Capital Region Denmark,Olivia W.,,,"The European Emergency Data Research Network, European Commission","Gov, NP",,,Current,2013,C,http://syndromicsurveillance.eu/systems-in-europe/humansys,denmark,,,Denmark,,emergency medical dispatch centre,routinely collected emergency medical dispatch data,,http://syndromicsurveillance.eu/systems-in-europe/humansys,clinical,yes,,yes,no,no,,nonspecific,,
Bioalarm,Olivia W.,(only one abstract - article is in Danish - so doesn't seem like much info is available?),,NF,Gov,,,nf ,nf ,nf ,http://www.ncbi.nlm.nih.gov/pubmed/16159492,denmark,,,Denmark,,ambulatory services,Early warning syndromic surveillance; Ambulance dispatches,,http://www.ncbi.nlm.nih.gov/pubmed/16159492,non-clinical,yes,,yes,no,no,NF,NF,,
Flu Express,Laura H.,,,Centre for Health Protection,Gov,,,current,1/1/2012,c,http://www.chp.gov.hk/en/guideline1_year/29/134/441/304.html,,Hong Kong,,China,,,,,http://www.chp.gov.hk/en/guideline1_year/29/134/441/304.html,"clinical, lab, other surveillance systems, PHOR",yes,no,yes,no,no,ILI,Influenza,,
Chinese Information System for Disease Control and Prevention (CISDP),Olivia W.,,,Chinese Center for Disease Control and Prevention (China CDC),NP,,,Current,2004,C,http://pacifichealthsummit.org/downloads/HITCaseStudies/Functional/CISDCP.pdf,,,,China,,"local health facilities, commune hospital",,,http://pacifichealthsummit.org/downloads/HITCaseStudies/Functional/CISDCP.pdf,"clinical, PHOR",yes,no,yes,no,no,,malaria,,
"Departamento de Epidemiología, Chile",Laura H.,,,"Ministerio de Salud, Chile",Gov,,2001-2008,Terminated,2001,2008,http://epi.minsal.cl/vigilancia-epidemiologica/enfermedades-de-notificacion-obligatoria/,Chile,,,Chile,,,,,http://epi.minsal.cl/vigilancia-epidemiologica/enfermedades-de-notificacion-obligatoria/,"lab, clinical",yes,no,yes,no,no,,"Botulism
Brucellosis
Outbreaks Foodborne Diseases
Carbuncle
Chikungunya
Anger
Whooping cough
Dengue
Diarrhea
Diphtheria
Chagas
Creutzfeld-Jakob disease
Invasive Haemophilus influenzae disease
Meningococcal disease and bacterial meningitis
Escherichia coli Shiga toxin producing (STEC)
Yellow Fever
Typhoid and paratyphoid
West Nile fever
Gonorrhea
Hantavirus (Hantavirus Pulmonary Syndrome)
Viral hepatitis type A
Viral Hepatitis type B
Viral hepatitis type C
Viral hepatitis type E
Hidatidosis
Severe acute respiratory infections (including pneumonia requiring hospitalization)
Influenza
Leptospirosis
Leprosy
Listeria
Malaria
Bacterial Meningitis (Meningococcal disease Included)
Parotitis
Plague
Poliomyelitis (Acute Flaccid Paralysis)
Psittacosis
Human Rabies
Rotavirus
Rubella
Salmonella Enteritidis
Measles
SARS
Syphilis
Hantavirus Pulmonary Syndrome
Tetanus
Epidemic typhus
Trichinosis
Tuberculosis
Chickenpox
Vibrio parahaemolyticus
HIV AIDS",,
Telehealth Ontario,Laura H.,,,"Ontario Ministry of Health and Long-Term Care, Queens University ","Gov, NP",,2012-current,Current,2012,C,https://www.publichealthontario.ca/en/LearningAndDevelopment/Events/Documents/OAHPP%20Syndromic%20Surveillance%20Workshop%20Mar%2009%20-%20Karen%20Hay.pdf,,,Ontario,Canada,,,,,https://www.publichealthontario.ca/en/LearningAndDevelopment/Events/Documents/OAHPP%20Syndromic%20Surveillance%20Workshop%20Mar%2009%20-%20Karen%20Hay.pdf,citizen/self reporting,yes,,yes,no,no,"gastrointestinal, ILI, respiratory",syndromic only,http://www.ncbi.nlm.nih.gov/pubmed/18226314,http://www.health.gov.on.ca/en/public/programs/telehealth/
Canada’s Immunization Monitoring Program ACTive (IMPACT),Laura H.,,,"Public Health Agency of Canada (PHAC), Canadian Paediatric Society and the Laboratory Centre for Disease Control (Health Canada) ","Gov, NP",,1996-current,Current,1996,C,http://www.cps.ca/en/impact,Canada,,,Canada,,,,,http://www.cps.ca/en/impact,clinical,yes,no,yes,no,no,,"adverse events following immunization, vaccine failures and selected infectious diseases that are, or will be, vaccine preventable.",,
RODS-based syndromic surveillance system (Pilot Program for Ontario Canada),Olivia W.,,,"Kingston, Frontenac, Lennox and Addington (KFL and A) Public Health, Public Health Division of the Ontario Ministry of Health and Long-Term Care, Queen's University, the Public Health Agency of Canada, Kingston General Hospital, Hotel Dieu Hospital","Gov, NP",,,Absorbed,1999,2004,,,,Ontario,Canada,,"hospitals,","chief complaint data, electronic lab reports, lab orders, dictated radiology reports, dictated hospital reports, poison control call centers",,,"clinical, non-clinical, lab",yes,,yes,no,no,,nonspecific,,
National Enhanced Invasive Meningococcal Disease (eIMD) Surveillance System,Laura H.,,,Public Health Agency of Canada (PHAC),Gov,,2006-2011,Terminated,2006,2011,http://www.phac-aspc.gc.ca/publicat/ccdr-rmtc/14vol40/dr-rm40-09/dr-rm40-09-surv-eng.php,Canada,,,Canada,,,,,http://www.phac-aspc.gc.ca/publicat/ccdr-rmtc/14vol40/dr-rm40-09/dr-rm40-09-surv-eng.php,"lab, clinical",yes,no,yes,no,no,,Meningococcal Disease,,
FluWatch,Olivia W.,done,,Public Health Agency of Canada: Centre for Immunization and Respiratory Infectious Diseases,Gov,,-current,Current,2014,C,http://www.phac-aspc.gc.ca/fluwatch/,Canada,,,Canada,,"sentinel network of labs, hospitals, doctor's offices and provincial and territorial ministries of health","laboratory confirmed cases, antiviral resistance, consultation rates, prescription sales, hospitalizations and deaths (pediatric, adult),",,,"lab, clinical, PHOR",yes,no,yes,no,no,,influenza,,
Alternative Surveillance Alert Program (ASAP),Olivia W.,Done,ZSG,Health Canada,Gov,,,nf ,nf ,nf ,,Canada,,,Canada,,"stores that sell OTC, Telehealth","OTC anitdiarrheal and anti-nausea sales, calls to Telehealth lines",,,"non-clinical, clinical",yes,no,yes,no,no,,nonspecific,,
Canadian Chronic Disease Surveillance System (CCDSS),Laura H.,,,Public Health Agency of Canada (PHAC),Gov,,1999-2009,Terminated,1999,2009,http://www.phac-aspc.gc.ca/cd-mc/cvd-mcv/ccdss-snsmc-2010/2-1-eng.php,Canada,,,Canada,,,,,http://www.phac-aspc.gc.ca/cd-mc/cvd-mcv/ccdss-snsmc-2010/2-1-eng.php,other surveillance systems,yes,,yes,no,no,,"diabetes, hypertension",,
Malaria Information System (MIS),Olivia W.,,,National Malaria Centre of Cambodia (CMN),Gov,,,current,nf ,C,http://globalhealthsciences.ucsf.edu/sites/default/files/content/ghg/mei-surveillance-systems-to-facilitate.pdf,,,,Cambodia,,communicates with cloud-based database which Pf is reported to and D3AS with FrontlineSMS to identify resistance,"malaria transmission and intervention coverage (communicates with cloud-based database which Pf is reported to and D3AS with FrontlineSMS to identify resistance), topographic, census, health facility, intervention coverage to village level",,http://globalhealthsciences.ucsf.edu/sites/default/files/content/ghg/mei-surveillance-systems-to-facilitate.pdf,"non-clinical, clinical, PHOR",yes,no,yes,no,no,,malaria,http://www.malariaconsortium.org/resources/publications/321/cambodia-malaria-surveillance-system,
2014 FIFA World Cup Surveillance,Olivia W.,,,Surveillance Department of Ministry of Health,Gov,app,,Terminated,2014,2014,http://blogs.rrc.ca/wellness/2014/06/fifa-travel-new-healthy-cup-app-for-visitors-to-brazil/,,,,Brazil,,users of the app,daily health status,app,http://blogs.rrc.ca/wellness/2014/06/fifa-travel-new-healthy-cup-app-for-visitors-to-brazil/,citizen/self reporting,yes,,yes,no,no,"fever, cough, sore throat, shortness of breath, nausea and vomiting, diarrhea, joint pain, headache, bleeding, rash",syndromic only,,
ENS-CARE Influenza Early Warning Scheme,Olivia W.,done,Karissa,European Centre for Disease Prevention and Control,Gov,,1992-1995,terminated,1992,1995,https://books.google.com/books?id=dQwviHEs03YC&pg=PA42,"Belgium. France, Netherlands, Portugal, U.K",,,"Belgium, France, Netherlands, Portugal, United Kingdom",,NF,NF,,https://books.google.com/books?id=dQwviHEs03YC&pg=PA42,clinical,yes,No,yes,no,no,,Influenza,,
EuroMOMO,Faith,,,DG SANCO,Gov,,,Current,2009,C,http://www.euromomo.eu/,,,,"Belgium, Denmark, United Kingdom, Estonia, Finland, France, Greece, Hungary, Ireland, Netherlands, Norway, Portugal, Spain, Sweden, Switzerland",,,,model,http://www.euromomo.eu/,PHOR,yes,,yes,no,no,mortality,syndromic only,,
Wet Market Surveillance,Faith,,,"Institute of Epidemiology, Disease Control, and Research (IEDCR)",Gov,,,Terminated,2009,2011,http://www.iedcr.org/index.php?option=com_content&view=article&id=42&Itemid=99,,,,Bangladesh,,,observing bird handlers in bangladesh,,http://www.iedcr.org/index.php?option=com_content&view=article&id=42&Itemid=99,"non-clinical, field reporting",yes,no,yes,no,no,ILI,Avian Influenza,,
SIDARTHa (Tyrol),Olivia W.,,,"The European Emergency Data Research Network, European Commission","Gov, NP",,,Current,2012,C,http://syndromicsurveillance.eu/systems-in-europe/humansys,austria,,,Austria,,State emergency medical dispatch center (Leitstelle Tirol),"Syndromic data, reports sent by email daily",,http://syndromicsurveillance.eu/systems-in-europe/humansys,clinical,yes,,yes,no,no,,nonspecific,,
EBOLATRACKS,Olivia W.,,,"Communicable Disease Control Directorate, Perth Department of Health",Gov,,2014-current,Current,2014,C,http://www.eurosurveillance.org/ViewArticle.aspx?ArticleId=20999,,,,Australia,,,self reported symptoms via SMS-system,,http://www.eurosurveillance.org/ViewArticle.aspx?ArticleId=20999,citizen/self reporting,yes,no,yes,no,no,,Ebola,,
FluTracking,Faith,,,"Newcastle University Australia, Hunter New England Population Health (HNE Population Health), Hunter Medical Research Institute",NP,,2006-current,Current ,2006,C ,http://www.flutracking.net/,,,,Australia,,,,,http://www.flutracking.net/,citizen/self reporting,yes,no,yes,no,no,,influenza,,
New South Wales ED surveillance system,Olivia W.,,,New South Wales Department of Health ,Gov ,,,nf ,nf ,nf ,http://www.ncbi.nlm.nih.gov/pubmed/18522311,,,New South Wales,Australia,,,ED data,,http://www.ncbi.nlm.nih.gov/pubmed/18522311,clinical,yes,no,yes,no,no,,** (need full text),,
Australian Paediatric Surveillance Unit (APSU),Faith,,,Kids Research Institute,NP,,,Current,1993,C,http://www.apsu.org.au/,,,,Australia,,,,, ,"clinical, lab",yes,,yes,no,no,,"Deletion Syndrome, Acute Flaccid Paralysis, Childhood Interstital Lung Disease, Congential Cytomegalovirus Infection, Congential Rubella, Congenital Varicella, Chronic Fatigue Syndrome, Fetal Alcohol Spectrum Disorders, HIV, AIDS, Juvenile Onset Recurrent Respiratory Pappillomatis, MECP2 Duplication Syndrome, Neonatal Varicella, Newborn and infant herpes simplex virus, Rett Synrome, Sever Complications of Influenza, Vitamin K Deficiency",http://www.health.gov.au/internet/main/publishing.nsf/Content/cda-surveil-surv_sys.htm,
National Influenza Surveillance Scheme,Faith,,,Australian Department of Health and Ageing,Gov,,,Current,2009,C ,http://www.health.gov.au/internet/main/publishing.nsf/Content/cda-surveil-ozflu-flucurr.htm,,,,Australia,,laboratory-confirmed notifications to NNDSS; influenza associated hospitalisations; sentinel influenza-like illness (ILI) reporting from general practitioners and emergency departments; ILI-related call centre calls and community level surveys; and sentinel laboratory testing results,,,http://www.health.gov.au/internet/main/publishing.nsf/Content/cda-surveil-ozflu-flucurr.htm,"clinical, lab, citizen",yes,,yes,no,no,,Influenza,http://www.health.gov.au/internet/main/publishing.nsf/Content/cda-surveil-surv_sys.htm,
"Vaccine-preventable disease (VPD) surveillance, Australia",Laura H.,,,National Centre for Immunisation Research and Surveillance,Gov,,,Terminated,1993,2007,http://ncirs.edu.au/surveillance/disease/index.php,,,,Australia,,,,,http://ncirs.edu.au/surveillance/disease/index.php,"clinical, other surveillance systems",yes,,yes,no,no,,"diphtheria, Haemophilus influenzae type b disease, hepatitis A, hepatitis B, influenza, measles, meningococcal disease, mumps, pertussis, pneumococcal disease, poliomyelitis, Q fever, rotavirus, rubella, tetanus, andvaricella-zoster virus infection.",,
2003 Rugby World Cup,Olivia W.,,,Department of Health of New South Wales (Australia),Gov,,2003-2003,Terminated,2003,2003,http://www.cdc.gov/mmwr/preview/mmwrhtml/su5401a42.htm,,,,Australia,,,,,http://www.cdc.gov/mmwr/preview/mmwrhtml/su5401a42.htm,"clinical, PHOR",yes,,yes,no,no,NF,syndromic only,,
Australian NSP Survey Data Reports,Faith,,,The Kirby Institute,NP,,,Current,1995,C,https://kirby.unsw.edu.au/surveillance/Australian-NSP-Survey-Data-Reports,,,,Australia,,,,,https://kirby.unsw.edu.au/surveillance/Australian-NSP-Survey-Data-Reports,"lab, citizen/self reporting",yes,no,yes,no,no,,"HIV/AIDS, hepatitis C",Needle and Syringe survey,also monitors injection/sexual behaviors
VIDRL Influenza Surveillance,Laura H.,,,Victorian Infectious Disease Resource Laboratory (VIDRL),NP,,,Current,2006,C,http://www.vidrl.org.au/surveillance/,,,Victoria,Australia,,,,,http://www.vidrl.org.au/surveillance/,"lab, clinical",yes,,yes,no,no,,"Influenza, Norovirus, Acute Flaccid Paralysis, Measles",,
Victorian Health Information Surveillance System (VHISS),Faith,,,Victoria Department of Health,Gov,,,Terminated,2008,2008,https://hns.dhs.vic.gov.au/3netapps/vhisspublicsite/ViewContent.aspx?TopicID=1,,,Victoria,Australia,,,,,https://hns.dhs.vic.gov.au/3netapps/vhisspublicsite/ViewContent.aspx?TopicID=1,"lab, clinical, PHOR",yes,no,yes,no,no,,"infectious disease, LRI, Neonatal conditions, cancer, diabetes, endocrine and metabolic disorders, alcohol dependence, depression, anxiety, personality disorders, heroin abuse",https://hns.dhs.vic.gov.au/3netapps/vhisspublicsite/Report.aspx?ReportID=30&ReportYearID=3&ReportYearID=3,
Australian Sentinel Practice Research Network (ASPREN),Olivia W.,,,Royal Australian College of General Practitioners,NP,,,Terminated,1991,2012,http://www.aspren.com.au/,,,,Australia,,,,,http://www.aspren.com.au/,"clinical, lab",yes,no,yes,no,no,ILI,"influenza, gastroenteritis, chicken pox, shingles",,
Google Dengue Trends,Olivia W.,done,Robyn,Google,FP,,-current,current,2011,C,,"Argentina, Bolivia, Brazil, India, Indonesia, Mexico, Philippines, Singapore, Thailand, Venezuela",,,"Argentina, Bolivia, Brazil, India, Indonesia, Mexico, Philippines, Singapore, Thailand, Venezuela",,"Google, Bolivia Ministry of Health and Sports, Brazil Ministry of Health World Health Organization - South East Asia Regional Office Singapore Ministry of Health","aggregated search data, public health data",,,"internet activity, other surveillance systems, PHOR",yes,yes,yes,no,no,,dengue fever,http://www.dailymail.co.uk/sciencetech/article-1393172/Google-launches-Dengue-Trends-tool-help-doctors-track-spread-deadly-fever.html,
Google Flu Trends,Olivia W.,done,Robyn,Google,FP,,2008-current,current,2008,C,,"Argentina, Australia, Austria, Belgium, Bolivia, Brazil, Bulgaria, Canada, Chile, France, Germany, Hungary, Japan, Mexico, Netherlands, New Zealand, Norway, Paraguay, Peru, Poland, Romania, Russia, South Africa, Spain, Sweden, Switzerland, Ukraine, United States, Uruguay",,,"Argentina, Australia, Austria, Belgium, Bolivia, Brazil, Bulgaria, Canada, Chile, France, Germany, Hungary, Japan, Mexico, Netherlands, New Zealand, Norway, Paraguay, Peru, Poland, Romania, Russia, South Africa, Spain, Sweden, Switzerland, Ukraine, United States, Uruguay",,"Google searches, Victorian Infectious Diseases Reference Laboratory, European Influenza Surveillance Network Public Health Agency of Canada Department of Epidemiology of the Chile Ministry of Health Sentinelles INSERM, UPMC, National Institute of Infectious Diseases National Influenza Centre Romanian National Influenza Center, The Cantacuzino Institute National Institute for Communicable Diseases U.S. Centers for Disease Control","aggregated search data, data on influenza-like-illness",,,"internet activity, other surveillance systems, PHOR",yes,yes,yes,no,no,,influenza,http://static.googleusercontent.com/media/research.google.com/en/us/archive/papers/detecting-influenza-epidemics.pdf,
